FarmID,Sampling,Test,GreaterLess,Concentration,Micro Notes
R1,A,MSC,,1.5,
R2,A,MSC,>,250,TNTC
R3,A,MSC,,8.5,
R4,A,MSC,,3.5,
R5,A,MSC,>,250,TNTC
R6,A,MSC,,1.5,
R7,A,MSC,,0.5,
R8,A,MSC,,1.5,
R9,A,MSC,,2.5,
R10,A,MSC,,5.5,
R11,A,MSC,,11.5,
R12,A,MSC,,98.5,
R13,A,MSC,,3,
R14,A,MSC,,2,
R15,A,MSC,,6.5,
R16,A,MSC,,0.5,
R17,A,MSC,,3.5,
R18,A,MSC,,49.5,
R19,A,MSC,,4.5,
R20,A,MSC,,2.5,
R21,A,MSC,,4.5,
R22,A,MSC,,0.5,
R23,A,MSC,,6,
R24,A,MSC,,10.5,
R25,A,MSC,,2.5,
R1,A,TSC,,1,
R2,A,TSC,,0.5,
R3,A,TSC,,11,
R4,A,TSC,,2.5,
R5,A,TSC,,5.5,
R6,A,TSC,,1,
R7,A,TSC,,1,
R8,A,TSC,,0.5,
R9,A,TSC,,1.5,
R10,A,TSC,,1.5,
R11,A,TSC,,5.5,
R12,A,TSC,,0.5,
R13,A,TSC,,1.5,
R14,A,TSC,,3,
R15,A,TSC,,6.5,
R16,A,TSC,,2.5,
R17,A,TSC,,3.5,
R18,A,TSC,,25.5,
R21,A,TSC,,1.5,
R19,A,TSC,,6,
R20,A,TSC,,3,
R22,A,TSC,,1,
R23,A,TSC,,3,
R24,A,TSC,,9.5,
R25,A,TSC,,6,
R26,A,MSC,,2,
R27,A,MSC,<,0.125,
R28,A,MSC,,11.5,
R29,A,MSC,,1,
R30,A,MSC,,4,
R31,A,MSC,,2.5,
R32,A,MSC,,2.5,
R33,A,MSC,,11.5,
R34,A,MSC,,17,
R35,A,MSC,,19,
R36,A,MSC,,11.5,
R37,A,MSC,,4.5,
R38,A,MSC,,4.5,
R39,A,MSC,,2.5,
R40,A,MSC,,15,
R41,A,MSC,,3,
R42,A,MSC,,54.5,
R43,A,MSC,,10,
R44,A,MSC,,28,
R45,A,MSC,,8,
R46,A,MSC,,27.5,
R47,A,MSC,,6,
R48,A,MSC,,34,
R49,A,MSC,,9.5,
R50,A,MSC,,4,
R26,A,TSC,<,0.125,
R27,A,TSC,<,0.125,
R28,A,TSC,,4,
R29,A,TSC,<,0.125,
R30,A,TSC,,11,
R31,A,TSC,,1.5,
R32,A,TSC,<,0.125,
R33,A,TSC,,6,
R34,A,TSC,,16,
R35,A,TSC,,21,
R36,A,TSC,,1.5,
R37,A,TSC,,1.5,
R38,A,TSC,,4,
R39,A,TSC,,4,
R40,A,TSC,,9,
R41,A,TSC,,1,
R42,A,TSC,,111,
R43,A,TSC,,6,
R44,A,TSC,,19,
R45,A,TSC,,10,Estimated
R46,A,TSC,,2,
R47,A,TSC,,10.5,
R48,A,TSC,,25,
R49,A,TSC,,4.5,
R50,A,TSC,,2,
R53,A,MSC,,1,
R52,A,MSC,,1,
R51,A,MSC,,0.5,
R56,A,MSC,,0.5,
R55,A,MSC,,0.5,
R54,A,MSC,,1,
R58,A,MSC,,0.5,
R57,A,MSC,,1,
R59,A,MSC,,8,
R60,A,MSC,,10,
R61,A,MSC,,12,
R62,A,MSC,,6.5,
R63,A,MSC,<,0.125,
R64,A,MSC,<,0.125,
R65,A,MSC,,0.5,
R66,A,MSC,<,0.125,
R67,A,MSC,,5.5,
R68,A,MSC,,3.5,
R69,A,MSC,<,0.125,
R70,B,MSC,<,0.125,
R71,B,MSC,,3,
R72,B,MSC,,3.5,
R73,B,MSC,,8.5,
R74,B,MSC,,13,
R75,B,MSC,,6,
R51,A,TSC,<,0.125,
R52,A,TSC,<,0.125,
R53,A,TSC,,1.5,
R54,A,TSC,<,0.125,
R55,A,TSC,,5,
R56,A,TSC,<,0.125,
R57,A,TSC,,0.5,
R58,A,TSC,<,0.125,
R59,A,TSC,,3,
R60,A,TSC,,29,
R61,A,TSC,,8,
R62,A,TSC,,14.5,
R63,A,TSC,,2.5,
R64,A,TSC,<,0.125,
R65,A,TSC,,0.5,
R66,A,TSC,<,0.125,
R67,A,TSC,<,0.125,
R68,A,TSC,,0.5,
R69,A,TSC,<,0.125,
R70,B,TSC,,1.5,
R71,B,TSC,,0.5,
R72,B,TSC,,1,
R73,B,TSC,,4,
R74,B,TSC,,4.5,
R75,B,TSC,,4,
R29,B,TSC,<,0.125,
R30,B,TSC,,12.5,
R31,B,TSC,,4.5,
R32,B,TSC,,0.5,
R33,B,TSC,,5,
R34,B,TSC,,23,
R35,B,TSC,,16,
R37,B,TSC,,2.5,
R38,B,TSC,,5,
R42,B,TSC,,9,
R53,B,TSC,,7.5,
R54,B,TSC,,5,
R29,B,MSC,,1.5,
R30,B,MSC,,20.5,
R31,B,MSC,,3.5,
R32,B,MSC,,0.5,
R33,B,MSC,,6,
R34,B,MSC,,25.5,
R35,B,MSC,,14,
R37,B,MSC,,15.5,
R38,B,MSC,,3.5,
R42,B,MSC,,37,
R53,B,MSC,,16,
R54,B,MSC,,4.5,
R36,B,MSC,<,0.125,
R51,B,MSC,,4.5,
R76,B,MSC,<,0.125,
R77,B,MSC,,3.5,
R36,B,TSC,,1,
R51,B,TSC,,4,
R76,B,TSC,,0.5,
R77,B,TSC,,0.5,
R1,B,MSC,,4,
R2,B,MSC,,1,
R3,B,MSC,,18.5,
R4,B,MSC,,6,
R5,B,MSC,,6.5,
R6,B,MSC,,9,
R7,B,MSC,,15.5,
R8,B,MSC,,3.5,
R9,B,MSC,,2.5,
R10,B,MSC,,1,
R11,B,MSC,,6,
R12,B,MSC,,5,
R13,B,MSC,,5,
R39,B,MSC,,8,
R40,B,MSC,,5,
R41,B,MSC,,17.5,
R44,B,MSC,,5.5,
R45,B,MSC,,31,
R46,B,MSC,,5.5,
R47,B,MSC,,4.5,
R48,B,MSC,,19.5,
R49,B,MSC,,3.5,
R78,B,MSC,,12,
R79,B,MSC,,7,
R80,B,MSC,,2,
R1,B,TSC,,2,
R2,B,TSC,<,0.125,
R3,B,TSC,,11.5,
R4,B,TSC,,9,
R5,B,TSC,,3.5,
R6,B,TSC,,7,
R7,B,TSC,,13,
R8,B,TSC,<,0.125,
